movie_id,title,release_year,director,imdb_rating,imdb_rank,metacritic_rating,metacritic_rank,rotten_tomato_rating,rotten_tomato_rank,actor1,character1,actor2,character2,actor3,character3,actor4,character4,actor5,character5,production_company_id,production_company,company_founding_year,headquarters_country,headquarters_city,imdb_url,metacritic_url,rotten_tomato_url,wikipedia_url
1440730664,The Matrix,1999,Lana & Lilly Wachowski,8.7,18,73,NA,83,NA,Keanu Reeves,Neo,Laurence Fishburne,Morpheus,Carrie-Anne Moss,Trinity,Hugo Weaving,Agent Smith,Gloria Foster,Oracle,662884426,Warner Bros.,1923,United States,Burbank CA,https://www.imdb.com/title/tt0133093/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_the%2520mat,https://www.metacritic.com/movie/the-matrix/,https://www.rottentomatoes.com/m/matrix,https://en.wikipedia.org/wiki/The_Matrix
1018157845,One Flew Over the Cuckoo's Nest,1975,Milos Forman,8.7,19,84,NA,93,NA,Jack Nicholson,Randle Patrick 'R.P' McMurphy,Danny DeVito,Martini,Christopher Lloyd,Taber,Louise Fletcher,Nurse Mildred Ratched,Will Sampson,Chief' Bromden,1182113051,Fantasy Films,NA,NA,NA,https://www.imdb.com/title/tt0073486/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_one%2520flew%2520,https://www.metacritic.com/movie/one-flew-over-the-cuckoos-nest/,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest,https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film)
78809918,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,8.7,20,82,NA,95,NA,Mark Hamill,Luke Skywalker,Harrison Ford,Han Solo,Carrie Fisher,Princess Leia Organa,Billy Dee Williams,Lando Calrissian,Anthony Daniels,C-3PO,1097980,Lucasfilm Ltd.,1971,United States,San Francisco CA,https://www.imdb.com/title/tt0080684/?ref_=nv_sr_srsg_9_tt_7_nm_0_in_0_q_star%2520wars%2520ep,https://www.metacritic.com/movie/star-wars-episode-v---the-empire-strikes-back/,https://www.rottentomatoes.com/m/star_wars_episode_v_the_empire_strikes_back,https://en.wikipedia.org/wiki/The_Empire_Strikes_Back
63545791,The Silence of the Lambs,1991,Jonathan Demme,8.6,21,86,NA,95,NA,Jodie Foster,Clarice Starling,Anthony Hopkins,Dr. Hannibal Lecter,Scott Glenn,Jack Crawford,Ted Levine,Jame 'Buffalo Bill' Gumb,Anthony Heald,Dr. Frederick Chilton,1018652039,Strong Heart Productions,NA,NA,NA,https://www.imdb.com/title/tt0102926/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_silence%2520of%2520the%2520lambs,https://www.metacritic.com/movie/the-silence-of-the-lambs/,https://www.rottentomatoes.com/m/silence_of_the_lambs,https://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film)
503062450,Seven   ,1995,David Fincher,8.6,22,65,NA,83,NA,Brad Pitt,Detective David Mills,Morgan Freeman,Detective William Somerset,Kevin Spacey,John Doe,Gwyneth Paltrow,Tracy Mills,Richard Roundtree,Martin Talbot,52667073,Arnold Kopelson Productions,NA,NA,NA,https://www.imdb.com/title/tt0114369/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_seven,https://www.metacritic.com/movie/seven/,https://www.rottentomatoes.com/m/seven,https://en.wikipedia.org/wiki/Seven_(1995_film)
1249678210,Saving Private Ryan,1998,Steven Spielberg,8.6,23,91,NA,94,NA,Tom Hanks,Captain Miller,Tom Sizemore,Sergeant Horvath,Edward Burns,Private Reiben,Barry Pepper,Private Jackson,Adam Goldberg,Private Mellish,1252156701,Amblin Entertainment,1980,United States,Universal City CA,https://www.imdb.com/title/tt0120815/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_saving,https://www.metacritic.com/movie/saving-private-ryan/,https://www.rottentomatoes.com/m/saving_private_ryan,https://en.wikipedia.org/wiki/Saving_Private_Ryan
1346231625,The Green Mile,1999,Frank Darabont,8.6,24,61,NA,79,NA,Tom Hanks,Paul Edgecomb,Michael Clark Duncan,John Coffey,David Morse,Brutus 'Brutal' Powell,Bonnie Hunt,Jan Edgecomb,James Cromwell,Hal Moores,615574204,Castle Rock Entertainment,1987,United States,Beverly Hills CA,https://www.imdb.com/title/tt0120689/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_the%2520gree,https://www.metacritic.com/movie/the-green-mile/,https://www.rottentomatoes.com/m/green_mile,https://en.wikipedia.org/wiki/The_Green_Mile_(film)
1406772068,Spider-Man: Across the Spider-Verse,2023,Joaquim Dos Santos/Kemp Powers/Justin K. Thompson,8.6,25,86,NA,95,NA,Shameik Moore,Miles Morales,Hailee Steinfeld,Gwen Stacey,Brian Tyree Henry,Jeff Morales,Luna Lauren Velez,Rio Morales,Jake Johnson,Peter Parker,608444546,Columbia Pictures,1918,United States,Culver City CA,https://www.imdb.com/title/tt9362722/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_spiderman%2520acr,https://www.metacritic.com/movie/spider-man-across-the-spider-verse/,https://www.rottentomatoes.com/m/spider_man_across_the_spider_verse,https://en.wikipedia.org/wiki/Spider-Man:_Across_the_Spider-Verse
392316929,L.A. Confidential,1997,Curtis Hanson,8.2,NA,91,NA,99,1,Kevin Spacey,Jack Vincennes,Russel Crowe,Officer Wendell 'Bud' White,Guy Pearce,Detective Lieutenant Edmund Jennings Exley,Kim Bassinger,Lynn Bracken,Danny DeVito,Sid Hudgens,1458218393,Regency Enterprises,1982,United States,West Hollywood CA,https://www.imdb.com/title/tt0119488/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_la%2520con,https://www.metacritic.com/movie/la-confidential/,https://www.rottentomatoes.com/m/la_confidential,https://en.wikipedia.org/wiki/L.A._Confidential_(film)
851421447,Casablanca,1943,Michael Curtis,8.5,NA,100,10,99,3,Humphrey Bogart,Rick Blaine,Ingrid Bergman,Ilsa Lund,Paul Henreid,Victor Laszlo,Calude Rains,Captain Louis Renault,Conrad Veidt,Major Heinrich Strasser,662884426,Warner Bros.,1923,United States,Burbank CA,https://www.imdb.com/title/tt0034583/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_casabl,https://www.metacritic.com/movie/casablanca/,https://www.rottentomatoes.com/m/1003707-casablanca,https://en.wikipedia.org/wiki/Casablanca_(film)
